blocks/social-links.liquid	prepend_newlines=1	append_newlines=0
blocks/spacer.liquid	prepend_newlines=2	append_newlines=0
blocks/swatches.liquid	prepend_newlines=2	append_newlines=0
blocks/text.liquid	prepend_newlines=2	append_newlines=0
blocks/variant-picker.liquid	prepend_newlines=2	append_newlines=0
blocks/video.liquid	prepend_newlines=2	append_newlines=0
sections/_blocks.liquid	prepend_newlines=2	append_newlines=0
sections/carousel.liquid	prepend_newlines=2	append_newlines=0
sections/collection-links.liquid	prepend_newlines=2	append_newlines=0
sections/collection-list.liquid	prepend_newlines=2	append_newlines=0
sections/custom-liquid.liquid	prepend_newlines=2	append_newlines=0
sections/divider.liquid	prepend_newlines=2	append_newlines=0
sections/featured-blog-posts.liquid	prepend_newlines=2	append_newlines=0
sections/featured-product-information.liquid	prepend_newlines=2	append_newlines=0
sections/featured-product.liquid	prepend_newlines=2	append_newlines=0
sections/footer-utilities.liquid	prepend_newlines=2	append_newlines=0
sections/footer.liquid	prepend_newlines=2	append_newlines=0
sections/header-announcements.liquid	prepend_newlines=2	append_newlines=0
sections/header.liquid	prepend_newlines=2	append_newlines=0
sections/hero.liquid	prepend_newlines=2	append_newlines=0
sections/layered-slideshow.liquid	prepend_newlines=2	append_newlines=0
sections/logo.liquid	prepend_newlines=2	append_newlines=0
sections/main-404.liquid	prepend_newlines=2	append_newlines=0
sections/main-blog-post.liquid	prepend_newlines=2	append_newlines=0
sections/main-blog.liquid	prepend_newlines=2	append_newlines=0
sections/main-cart.liquid	prepend_newlines=2	append_newlines=0
sections/main-collection-list.liquid	prepend_newlines=2	append_newlines=0
sections/main-collection.liquid	prepend_newlines=2	append_newlines=0
sections/main-page.liquid	prepend_newlines=2	append_newlines=0
sections/marquee.liquid	prepend_newlines=2	append_newlines=0
sections/media-with-content.liquid	prepend_newlines=2	append_newlines=0
sections/password-footer.liquid	prepend_newlines=2	append_newlines=0
sections/password.liquid	prepend_newlines=2	append_newlines=0
sections/predictive-search-empty.liquid	prepend_newlines=2	append_newlines=0
sections/predictive-search.liquid	prepend_newlines=2	append_newlines=0
sections/product-hotspots.liquid	prepend_newlines=2	append_newlines=0
sections/product-information.liquid	prepend_newlines=2	append_newlines=0
sections/product-list.liquid	prepend_newlines=2	append_newlines=0
sections/product-recommendations.liquid	prepend_newlines=1	append_newlines=0
sections/quick-order-list.liquid	prepend_newlines=2	append_newlines=0
sections/search-header.liquid	prepend_newlines=2	append_newlines=0
sections/search-results.liquid	prepend_newlines=2	append_newlines=0
sections/section-rendering-product-card.liquid	prepend_newlines=2	append_newlines=0
sections/section.liquid	prepend_newlines=2	append_newlines=0
sections/slideshow.liquid	prepend_newlines=2	append_newlines=0
