status	path	expected_md5	actual_md5	expected_size	actual_size
CHANGED	sections/divider.liquid	3d8120edb4275f80b353cb8c8dd11206	6aa672b5b5ede9c1f700a7f2f10db897	3485	3483
MISSING	sections/fabrictrad-admin-order-resolution.liquid	9caafc75dec6e3903cb841513ee6c2fe	-	10380	-
MISSING	sections/fabrictrad-admin-partial-refund.liquid	31293cb0c4a7f0e740679d571f6f70c6	-	10511	-
MISSING	sections/fabrictrad-admin-portal.liquid	86abec08ae4bcabb29fcad40ae47905f	-	21653	-
MISSING	sections/fabrictrad-admin-sync.liquid	d2121f2f6f0d3e832542196aa80b04df	-	1687	-
MISSING	sections/fabrictrad-auth-router.liquid	c5e527717d3a3a158685a8cdfb891192	-	9688	-
MISSING	sections/fabrictrad-buyer-cart.liquid	c970c463de6706dd118d6d8d140edacc	-	8097	-
MISSING	sections/fabrictrad-buyer-commerce-chrome.liquid	d6b2b64f283dd0a73e1f7c1d6d98c15b	-	8426	-
MISSING	sections/fabrictrad-buyer-workspace.liquid	ec406c48cc10846c87681af7067caf49	-	38848	-
MISSING	sections/fabrictrad-cart-stock-guard.liquid	664fb0b1336d782fb99d32dcb183d472	-	3147	-
MISSING	sections/fabrictrad-checkout-binding.liquid	9e76117d42df9d81c9ee1c5f20b2fdc5	-	2062	-
MISSING	sections/fabrictrad-direct-commerce-fixes.liquid	dd4ca8058fbd4027a9a092fd7d9770fc	-	2983	-
MISSING	sections/fabrictrad-global-route-fixes.liquid	46fbc970a74f7a9fef9de2c8f9303918	-	451	-
MISSING	sections/fabrictrad-home.liquid	7a7b3850ebebec6543ca8232510ed9a3	-	8873	-
MISSING	sections/fabrictrad-login-capability-route.liquid	bbae4290066ddfab707e3acd75f10043	-	4642	-
MISSING	sections/fabrictrad-login.liquid	30458a04783614488a90d4f46e2457cc	-	18495	-
MISSING	sections/fabrictrad-product-detail.liquid	53f12855ee312eb3873f0392f3ab8854	-	11244	-
MISSING	sections/fabrictrad-product-stock-guard.liquid	dc11d343c5c8281f17bbaca58f7039b6	-	2251	-
MISSING	sections/fabrictrad-seller-access-onboarding.liquid	d3e153763ce4526719a5798dee112ce3	-	7521	-
MISSING	sections/fabrictrad-seller-documents.liquid	4d6251fe1392da14fe53b26561a016bb	-	11541	-
MISSING	sections/fabrictrad-seller-onboarding-bridge.liquid	10f6b9491affea547abdb6bd7e9f959d	-	3968	-
MISSING	sections/fabrictrad-seller-order-actions.liquid	4860308f652355a164ec8f39d72da229	-	10644	-
MISSING	sections/fabrictrad-seller-portal.liquid	0c84f53a14848c4ee42ff087663fd820	-	28163	-
MISSING	sections/fabrictrad-seller-workspace.liquid	d3653d2058695b50b21e048cede519a3	-	57732	-
MISSING	sections/fabrictrad-shiprocket-pickup-settings.liquid	5a5624f51237b372355193f76b2d052d	-	4765	-
MISSING	sections/fabrictrad-virtual-drape.liquid	c6a5cbe2517ea67160d2a98d27d8dd18	-	7232	-
MISSING	sections/fabrictrad-workspace-rescue.liquid	1a2c21d85a647eb58b68cde064739d61	-	4271	-
CHANGED	sections/featured-blog-posts.liquid	8601e19d9751fcab5fa55e00fbffa1f9	fc9608581ca7c5550cf47de79f6852d8	13423	13421
CHANGED	sections/featured-product-information.liquid	0e0cb8b8ba53833690dc309de3f64858	89f086cfcacdeb0e183e4d795bcecf3a	6092	6090
CHANGED	sections/featured-product.liquid	e573f41803c0f75f3ff38b98467a758c	510c165509300d3afaf1fac795a533ba	5863	5861
CHANGED	sections/footer-group.json	89219d57567f6585e3f160871f90ed1c	3c287ec43123092ed2b839af223942fb	3860	7848
CHANGED	sections/footer-utilities.liquid	8025e01279ccd3642bbc6b3bc8c54265	a3e2e010b362998ac328617ec5bce1cd	5006	5004
CHANGED	sections/footer.liquid	7fcf2ac03a9c89427dfb7c774f40fcc3	0e4d3201961c810136006e96ac82a7d8	6255	6253
CHANGED	sections/header-announcements.liquid	71aa108b1783a02d49608239fdcb513a	20fcc429ef15923d9f4754c19c59658c	5211	5209
CHANGED	sections/header-group.json	57f978403ffcd498236466aa1dfb24b2	8fde7ca85c2d03f6db1c6232c32eb589	2389	3295
CHANGED	sections/header.liquid	7f6632ab80aa203c1251f439aacc35a2	d4b0b102efa2c12119ccd8ead5f553d2	54856	54854
CHANGED	sections/hero.liquid	715f1f7467e5bd96c7f474cf7ff41a75	ca8d8b2280d15ac67864c244d1a13859	44606	44604
CHANGED	sections/layered-slideshow.liquid	8ec754a2f8f3042d8f165c6ccf99faad	5ebd88892baed2dc4c6deb0c2541a37c	15329	15327
CHANGED	sections/logo.liquid	966b501d0ee380f1e168f48a771d07ab	d63cef6449e36bc54ba62b422b0435ba	8730	8728
CHANGED	sections/main-404.liquid	33202c7d11db7d95c26b38de507b9f0d	8d10fdc3f536aa891cc2c57c6827d2c7	4306	4304
CHANGED	sections/main-blog-post.liquid	8750fdadfa316b4dafc1b742ab74e0c4	cc624431114c0a67d3e70fe830a85618	4664	4662
CHANGED	sections/main-blog.liquid	6b1fada57c75fdd76aa5766dc02eb79a	55a9f9cde2509a70f7447e4f680d0890	5781	5779
CHANGED	sections/main-cart.liquid	e75c39a766e55bb841213b3a63c3c8b7	f016996a6ec7c913841c9c21d96b96e5	5547	5545
CHANGED	sections/main-collection-list.liquid	2966e0072a47f9375c5751b2ea821a88	14c07fefb57264faf9398f86ca279944	7845	7843
CHANGED	sections/main-collection.liquid	53e639200ad5d3666ffff48bc2461943	0886a4e6aedc1eab08318bd0b354b465	7131	7129
CHANGED	sections/main-page.liquid	0c217bd3bbb0d1be7d6ee85fd3668337	75c18ce183be22fbd4dc92d183f0e658	2186	2184
CHANGED	sections/marquee.liquid	2e2406fcc06ff42cc00d338eb4f594b0	af525ff0eaf833b45371dd21ba574c65	4422	4420
CHANGED	sections/media-with-content.liquid	20ad0f1dd3d7d7712148047d5e607fc8	532609b603359cd123e1b6193cd35769	12801	12799
CHANGED	sections/password-footer.liquid	b6bd4b69c0a2450477040da43f3e8108	814de347eed698f320072b72a9f33c59	2314	2312
CHANGED	sections/password.liquid	2860e255321e21854b8c51518fb29a75	9eb6d87228dfd99ed43e52d038dd49c2	8142	8140
CHANGED	sections/predictive-search-empty.liquid	fb3b2c70237c87004b88fc68d1103155	fccdc8bb0ce876ccafa60a1c124771b7	290	288
CHANGED	sections/predictive-search.liquid	99b1a0246361fccaf2585bf5aba629d4	2280f4b86ccb4e2a9ff025501fcfb166	6511	6509
CHANGED	sections/product-hotspots.liquid	da74e51f268421858bd2a12c9f99a826	f61a230187d06c8c09fc225c12568aa0	19573	19571
CHANGED	sections/product-information.liquid	ed05d5e08e59dc423f5f7c012772c3cc	820cbee6cfa698c0f4af258fcbe654a4	12713	12711
CHANGED	sections/product-list.liquid	15521ae8fbed587446acef5f8534d613	9e44b1145a76b07920438f708cc203a1	26680	26678
CHANGED	sections/product-recommendations.liquid	7df4ca919909c63cff288c90767036fb	f9e5a6ee029331b9dd7eeb119a6f6680	16033	16032
CHANGED	sections/quick-order-list.liquid	68bf9741e395476e176521d1104e1b9c	0b87547b2c623f79690c9c487a30993e	37822	37820
CHANGED	sections/search-header.liquid	c71fcd1130839f28955ef26e70088339	ae71404730baa51e9f5fc767d50859d3	2192	2190
CHANGED	sections/search-results.liquid	fdf24ff34b5764cc4e2181218ef013b0	54955423b28164da1a1e13cebf6f9855	6774	6772
CHANGED	sections/section-rendering-product-card.liquid	e72fdaee2d403f3b6a70e43c77587929	54378e57d66eb3df36a876ae94cdebc2	2459	2457
CHANGED	sections/section.liquid	d18bfa2b959ca1e9c558a5ad0c863129	669267fdd11b77ab50fa55e83b57a3e0	54160	54158
CHANGED	sections/slideshow.liquid	da00b7d1a684d27f3d03aadeed56a180	c01f8ec7b216aa67b5b64edee7b542a3	16561	16559
CHANGED	snippets/cart-products.liquid	dfaa07b52dcbf5e050fa121c6d2845c3	18928442a4b0be70c99a309e48042e1a	31623	31622
CHANGED	snippets/grid-density-controls.liquid	5463c82d0080942988a48e14f687f939	8ed948bddc33a8c1b23821a07452beaf	5735	4688
CHANGED	snippets/stylesheets.liquid	a8a822bd563bb43cde4dda649189afea	225482ed969debae3891c08113a254be	184	126
CHANGED	snippets/variant-picker-styles.liquid	2437ab39ceeebedee24ceef3c3800cce	9d0f0d5bd1d00b23e5b4b609bf679d61	16490	16330
CHANGED	templates/404.json	406c8f335f05cac9519b9cb812322c7d	afafd50a9e9853cc297d6233ac2817fc	8894	8858
CHANGED	templates/article.json	1d9aa8ef697cb9e95be61bfb9ee501a7	805d96366f6ac3a038a3627f5f011d58	2832	2839
CHANGED	templates/blog.json	0572b4b3b443eab9ffaa4739b2b74f70	5171a8a0599d5c420d2ada5d1b117ea7	3294	3350
CHANGED	templates/cart.json	19b859754c6de9f3cea275ae6af4e4e7	4a2f95dd3ecca5c2f54abe3d083a92bb	354	8264
CHANGED	templates/collection.json	8e13fee61e52776e61deadd4f7c215a1	b5fb476ff3ae620fa197fdc7ee3eaf53	7215	7623
CHANGED	templates/index.json	c54708d2255c0cec3c1ad1362b88897b	d096e1b604c1107f70259d1bf87b2870	167	9538
CHANGED	templates/list-collections.json	c4de05458cb4e725ab24f1911a00b948	de7af3a80eafecc450b3c0a2ec17f39d	5571	5566
CHANGED	templates/page.contact.json	f88c7b7186bb52ff56210c2a5d08066a	6e5f1d62af8777cf4704f92b5c435af1	4426	4336
MISSING	templates/page.fabrictrad-admin.json	f99ceecbbcac15ac5eb5a6070cdbf376	-	430	-
MISSING	templates/page.fabrictrad-buyer.json	0c4e1a4ccf79821d8f90c5e06e18cd15	-	350	-
MISSING	templates/page.fabrictrad-login.json	1fe23e7096dd8481e62315a8c901e4c5	-	262	-
CHANGED	templates/page.json	eb9984ce584bd0df3a0af0a16abd22fd	4490e1b11e3117a1b5c7a7e01e1ab6e4	1687	1647
MISSING	templates/page.seller-portal.json	a5229428b29f7b2edc0a17c996be1307	-	618	-
CHANGED	templates/password.json	13a0d16e133abfd30b4b0a467ffab769	80b17074b9089a1bc4a01b4cc85897c1	4508	4235
CHANGED	templates/product.json	8613ad45ebc1d0d84b32ca102a683e08	d40dc0dd078d2b36012dc403c91bcc0f	303	14063
CHANGED	templates/search.json	08a8eceaab19e487282dd80e30e4518f	e896f8a70b66bd5ff3d25608af382aa5	5711	5630
